Year,Month,District,Accident,Deaths,Injured
2012,11,Geumcheon,71,1,126
2012,12,Geumcheon,68,3,106
2012,1,Yeongdeungpo,159,2,240
2012,2,Yeongdeungpo,159,5,230
2012,3,Yeongdeungpo,182,3,232
2012,4,Yeongdeungpo,163,4,243
2012,5,Yeongdeungpo,184,4,268
2012,6,Yeongdeungpo,189,3,286
2012,7,Yeongdeungpo,189,2,268
2012,8,Yeongdeungpo,188,3,264
2012,9,Yeongdeungpo,180,2,261
2012,10,Yeongdeungpo,200,1,297
2012,11,Yeongdeungpo,202,1,312
2012,12,Yeongdeungpo,184,2,305
2012,1,Dongjak,101,2,143
2012,2,Dongjak,97,2,129
2012,3,Dongjak,80,0,102
2012,4,Dongjak,106,0,143
2012,5,Dongjak,90,1,120
2012,6,Dongjak,113,0,159
2012,7,Dongjak,93,0,125
2012,8,Dongjak,106,3,137
2012,9,Dongjak,111,0,167
2012,10,Dongjak,133,4,166
2012,11,Dongjak,117,2,150
2012,12,Dongjak,111,0,166
2012,1,Gwanak,109,3,159
2012,2,Gwanak,117,2,162
2012,3,Gwanak,145,1,201
2012,4,Gwanak,159,1,210
2012,5,Gwanak,158,1,200
2012,6,Gwanak,133,1,173
2012,7,Gwanak,150,2,206
2012,8,Gwanak,173,1,221
2012,9,Gwanak,156,3,205
2012,10,Gwanak,124,1,161
2012,11,Gwanak,159,1,213
2012,12,Gwanak,130,3,188
2012,1,Seocho,164,1,269
2012,2,Seocho,169,0,274
2012,3,Seocho,140,4,220
2012,4,Seocho,171,3,261
2012,5,Seocho,176,1,247
2012,6,Seocho,174,2,273
2012,7,Seocho,165,3,248
2012,8,Seocho,193,2,281
2012,9,Seocho,192,4,308
2012,10,Seocho,164,1,237
2012,11,Seocho,215,3,318
2012,12,Seocho,167,1,278
2012,1,Gangnam,303,3,463
2012,2,Gangnam,279,1,452
2012,3,Gangnam,341,3,515
2012,4,Gangnam,305,1,461
2012,5,Gangnam,333,1,485
2012,6,Gangnam,323,3,457
2012,7,Gangnam,363,4,481
2012,8,Gangnam,300,3,442
2012,9,Gangnam,311,2,448
2012,10,Gangnam,303,0,432
2012,11,Gangnam,348,2,483
2012,12,Gangnam,334,2,547
2012,1,Songpa,201,1,293
2012,2,Songpa,195,1,283
2012,3,Songpa,248,1,349
2012,4,Songpa,251,1,354
2012,5,Songpa,274,1,381
2012,6,Songpa,238,4,342
2012,7,Songpa,235,0,328
2012,8,Songpa,226,1,345
2012,9,Songpa,230,2,313
2012,10,Songpa,254,1,369
2012,11,Songpa,257,1,357
2012,12,Songpa,235,0,346
2012,1,Gangdong,94,1,124
2012,2,Gangdong,113,2,159
2012,3,Gangdong,114,0,157
2012,4,Gangdong,122,1,174
2012,5,Gangdong,113,2,165
2012,6,Gangdong,134,2,170
2012,7,Gangdong,120,3,170
2012,8,Gangdong,127,3,193
2012,9,Gangdong,133,1,186
2012,10,Gangdong,128,1,156
2012,11,Gangdong,138,1,204
2012,12,Gangdong,122,1,171
2013,1,Jongno,109,3,154
2013,2,Jongno,90,1,130
2013,3,Jongno,122,1,173
2013,4,Jongno,118,0,169
2013,5,Jongno,102,1,153
2013,6,Jongno,127,0,175
2013,7,Jongno,96,1,144
2013,8,Jongno,81,1,107
2013,9,Jongno,90,2,113
2013,10,Jongno,108,2,141
2013,11,Jongno,125,0,168
2013,12,Jongno,106,1,143
2013,1,Jung,103,0,154
2013,2,Jung,97,0,132
2013,3,Jung,138,0,188
2013,4,Jung,121,0,170
2013,5,Jung,136,0,187
2013,6,Jung,120,3,179
2013,7,Jung,137,0,184
2013,8,Jung,119,0,174
2013,9,Jung,109,1,153
2013,10,Jung,139,1,168
2013,11,Jung,122,2,157
2013,12,Jung,101,3,129
2013,1,Yongsan,100,0,160
2013,2,Yongsan,98,0,126
2013,3,Yongsan,136,2,190
2013,4,Yongsan,104,3,169
2013,5,Yongsan,129,1,180
2013,6,Yongsan,118,1,170
2013,7,Yongsan,119,3,173
2013,8,Yongsan,121,1,166
2013,9,Yongsan,114,0,163
2013,10,Yongsan,115,1,181
2013,11,Yongsan,124,0,185
2013,12,Yongsan,113,1,160
2013,1,Seongdong,70,0,89
2013,2,Seongdong,64,1,88
2013,3,Seongdong,104,2,129
2013,4,Seongdong,96,0,142
2013,5,Seongdong,107,0,156
2013,6,Seongdong,96,0,140
2013,7,Seongdong,80,1,99
2013,8,Seongdong,91,0,109
2013,9,Seongdong,93,2,124
2013,10,Seongdong,114,2,138
2013,11,Seongdong,111,0,129
2013,12,Seongdong,74,0,115
2013,1,Gwangjin,88,0,186
2013,2,Gwangjin,71,1,107
2013,3,Gwangjin,100,1,155
2013,4,Gwangjin,106,1,150
2013,5,Gwangjin,144,0,180
2013,6,Gwangjin,124,0,166
2013,7,Gwangjin,103,0,157
2013,8,Gwangjin,122,0,164
2013,9,Gwangjin,116,0,171
2013,10,Gwangjin,121,1,157
2013,11,Gwangjin,97,3,151
2013,12,Gwangjin,111,3,172
2013,1,Dongdaemun,130,2,150
2013,2,Dongdaemun,111,1,141
2013,3,Dongdaemun,159,0,203
2013,4,Dongdaemun,190,0,262
2013,5,Dongdaemun,189,1,253
2013,6,Dongdaemun,170,3,223
2013,7,Dongdaemun,152,3,205
2013,8,Dongdaemun,166,2,202
2013,9,Dongdaemun,183,1,229
2013,10,Dongdaemun,189,2,231
2013,11,Dongdaemun,177,1,229
2013,12,Dongdaemun,154,0,196
2013,1,Jungnang,119,0,176
2013,2,Jungnang,130,0,177
2013,3,Jungnang,138,1,181
2013,4,Jungnang,150,0,195
2013,5,Jungnang,138,0,197
2013,6,Jungnang,140,3,193
2013,7,Jungnang,137,1,201
2013,8,Jungnang,145,1,191
2013,9,Jungnang,173,0,232
2013,10,Jungnang,153,0,212
2013,11,Jungnang,153,2,202
2013,12,Jungnang,140,1,212
